"","Year","Away","Home","Winner","G_home","W_home","L_home","Conf_home","MP_home","FG_home","FGA_home","FG%_home","3P_home","3PA_home","3P%_home","2P_home","2PA_home","2P%_home","FT_home","FTA_home","FT%_home","ORB_home","DRB_home","AST_home","STL_home","BLK_home","TOV_home","PF_home","PTS_home","G_away","W_away","L_away","Conf_away","MP_away","FG_away","FGA_away","FG%_away","3P_away","3PA_away","3P%_away","2P_away","2PA_away","2P%_away","FT_away","FTA_away","FT%_away","ORB_away","DRB_away","AST_away","STL_away","BLK_away","TOV_away","PF_away","PTS_away"
"37",1980,"Seattle SuperSonics","Los Angeles Lakers","Home",82,60,22,"West",242.4,47.5,89.9,0.529,0.2,1.2,0.2,47.3,88.6,0.534,19.8,25.5,0.775,13.2,32.4,29.4,9.4,6.7,20,21.8,115.1,82,56,26,"West",241.8,43.3,92.3,0.47,0.7,2.3,0.312,42.6,90,0.474,21.1,27.5,0.768,16.8,31.1,24.9,9.1,5.2,18.2,22.7,108.5
"38",1980,"Boston Celtics","Philadelphia 76ers","Home",82,59,23,"East",242.1,43,87.3,0.492,0.3,1.5,0.216,42.6,85.7,0.497,22.9,29.6,0.772,14.5,32.1,27.1,9.7,8,20.8,22.7,109.1,82,61,21,"East",242.4,44.1,90.1,0.49,2,5.1,0.384,42.1,84.9,0.496,23.3,29.9,0.779,15,30,26.8,9.9,3.8,18.8,24.1,113.5
"39",1980,"Los Angeles Lakers","Seattle SuperSonics","Away",82,56,26,"West",241.8,43.3,92.3,0.47,0.7,2.3,0.312,42.6,90,0.474,21.1,27.5,0.768,16.8,31.1,24.9,9.1,5.2,18.2,22.7,108.5,82,60,22,"West",242.4,47.5,89.9,0.529,0.2,1.2,0.2,47.3,88.6,0.534,19.8,25.5,0.775,13.2,32.4,29.4,9.4,6.7,20,21.8,115.1
"40",1980,"Philadelphia 76ers","Boston Celtics","Away",82,61,21,"East",242.4,44.1,90.1,0.49,2,5.1,0.384,42.1,84.9,0.496,23.3,29.9,0.779,15,30,26.8,9.9,3.8,18.8,24.1,113.5,82,59,23,"East",242.1,43,87.3,0.492,0.3,1.5,0.216,42.6,85.7,0.497,22.9,29.6,0.772,14.5,32.1,27.1,9.7,8,20.8,22.7,109.1
"41",1980,"Los Angeles Lakers","Seattle SuperSonics","Away",82,56,26,"West",241.8,43.3,92.3,0.47,0.7,2.3,0.312,42.6,90,0.474,21.1,27.5,0.768,16.8,31.1,24.9,9.1,5.2,18.2,22.7,108.5,82,60,22,"West",242.4,47.5,89.9,0.529,0.2,1.2,0.2,47.3,88.6,0.534,19.8,25.5,0.775,13.2,32.4,29.4,9.4,6.7,20,21.8,115.1
"42",1980,"Seattle SuperSonics","Los Angeles Lakers","Home",82,60,22,"West",242.4,47.5,89.9,0.529,0.2,1.2,0.2,47.3,88.6,0.534,19.8,25.5,0.775,13.2,32.4,29.4,9.4,6.7,20,21.8,115.1,82,56,26,"West",241.8,43.3,92.3,0.47,0.7,2.3,0.312,42.6,90,0.474,21.1,27.5,0.768,16.8,31.1,24.9,9.1,5.2,18.2,22.7,108.5
"43",1980,"Philadelphia 76ers","Los Angeles Lakers","Home",82,60,22,"West",242.4,47.5,89.9,0.529,0.2,1.2,0.2,47.3,88.6,0.534,19.8,25.5,0.775,13.2,32.4,29.4,9.4,6.7,20,21.8,115.1,82,59,23,"East",242.1,43,87.3,0.492,0.3,1.5,0.216,42.6,85.7,0.497,22.9,29.6,0.772,14.5,32.1,27.1,9.7,8,20.8,22.7,109.1
"44",1980,"Philadelphia 76ers","Los Angeles Lakers","Away",82,60,22,"West",242.4,47.5,89.9,0.529,0.2,1.2,0.2,47.3,88.6,0.534,19.8,25.5,0.775,13.2,32.4,29.4,9.4,6.7,20,21.8,115.1,82,59,23,"East",242.1,43,87.3,0.492,0.3,1.5,0.216,42.6,85.7,0.497,22.9,29.6,0.772,14.5,32.1,27.1,9.7,8,20.8,22.7,109.1
"45",1980,"Los Angeles Lakers","Philadelphia 76ers","Away",82,59,23,"East",242.1,43,87.3,0.492,0.3,1.5,0.216,42.6,85.7,0.497,22.9,29.6,0.772,14.5,32.1,27.1,9.7,8,20.8,22.7,109.1,82,60,22,"West",242.4,47.5,89.9,0.529,0.2,1.2,0.2,47.3,88.6,0.534,19.8,25.5,0.775,13.2,32.4,29.4,9.4,6.7,20,21.8,115.1
"46",1980,"Los Angeles Lakers","Philadelphia 76ers","Home",82,59,23,"East",242.1,43,87.3,0.492,0.3,1.5,0.216,42.6,85.7,0.497,22.9,29.6,0.772,14.5,32.1,27.1,9.7,8,20.8,22.7,109.1,82,60,22,"West",242.4,47.5,89.9,0.529,0.2,1.2,0.2,47.3,88.6,0.534,19.8,25.5,0.775,13.2,32.4,29.4,9.4,6.7,20,21.8,115.1
"47",1980,"Philadelphia 76ers","Los Angeles Lakers","Home",82,60,22,"West",242.4,47.5,89.9,0.529,0.2,1.2,0.2,47.3,88.6,0.534,19.8,25.5,0.775,13.2,32.4,29.4,9.4,6.7,20,21.8,115.1,82,59,23,"East",242.1,43,87.3,0.492,0.3,1.5,0.216,42.6,85.7,0.497,22.9,29.6,0.772,14.5,32.1,27.1,9.7,8,20.8,22.7,109.1
"48",1980,"Los Angeles Lakers","Philadelphia 76ers","Away",82,59,23,"East",242.1,43,87.3,0.492,0.3,1.5,0.216,42.6,85.7,0.497,22.9,29.6,0.772,14.5,32.1,27.1,9.7,8,20.8,22.7,109.1,82,60,22,"West",242.4,47.5,89.9,0.529,0.2,1.2,0.2,47.3,88.6,0.534,19.8,25.5,0.775,13.2,32.4,29.4,9.4,6.7,20,21.8,115.1
"49",1981,"Indiana Pacers","Philadelphia 76ers","Home",82,62,20,"East",242.1,44.3,86.3,0.514,0.2,1,0.226,44.1,85.2,0.518,22.7,29.6,0.768,13.3,31.9,28.9,10.5,7.2,20.8,25.1,111.7,82,44,38,"East",240.6,42.6,88.4,0.482,0.4,2.1,0.178,42.2,86.3,0.489,22.1,31,0.715,16.2,27.6,25.5,10.2,5.9,18.2,24.5,107.6
"50",1981,"Chicago Bulls","New York Knicks","Away",82,50,32,"East",241.8,42.7,88.5,0.483,0.7,2.9,0.237,42.1,85.6,0.491,21.7,29.1,0.747,13.9,26.9,24.1,10.5,3.8,17.8,23.4,107.9,82,45,37,"East",241.2,42.2,84.2,0.501,0.5,2.2,0.212,41.7,82,0.508,24.2,31.3,0.774,15,30.2,23.5,8.9,6.3,20.4,25.1,109
"51",1981,"Kansas City Kings","Portland Trail Blazers","Away",82,45,37,"West",242.1,45.6,91.9,0.496,0.3,1.8,0.169,45.3,90.1,0.503,19.2,26.7,0.718,15.2,29.1,27.4,9.4,5.9,18.5,24.8,110.7,82,40,42,"West",241.8,43.6,87.2,0.5,0.6,2,0.292,43,85.2,0.505,19.2,26.9,0.714,12.6,29.9,27.7,8.8,4.7,17.7,25.5,106.9
"52",1981,"Houston Rockets","Los Angeles Lakers","Away",82,54,28,"West",241.5,46.1,90,0.512,0.2,1.1,0.181,45.9,88.9,0.516,18.8,25.8,0.729,14.2,30.4,28.8,9.9,6.7,19,23.8,111.2,82,40,42,"West",241.5,43.6,89.5,0.487,0.3,1.4,0.178,43.3,88,0.492,20.9,27.1,0.77,14.8,28.6,25.6,8.6,4.8,17.7,23.2,108.3
