Away,Away PTS,Home,Home PTS,Home_or_away,Year,Winner
Golden State Warriors,125,Los Angeles Lakers,124,Away,1991,Golden State Warriors
Detroit Pistons,103,Boston Celtics,109,Home,1991,Boston Celtics
Utah Jazz,116,Portland Trail Blazers,118,Home,1991,Portland Trail Blazers
Los Angeles Lakers,115,Golden State Warriors,112,Away,1991,Los Angeles Lakers
Chicago Bulls,97,Philadelphia 76ers,99,Home,1991,Philadelphia 76ers
Boston Celtics,115,Detroit Pistons,83,Away,1991,Boston Celtics
Portland Trail Blazers,101,Utah Jazz,107,Home,1991,Utah Jazz
Los Angeles Lakers,123,Golden State Warriors,107,Away,1991,Los Angeles Lakers
Chicago Bulls,101,Philadelphia 76ers,85,Away,1991,Chicago Bulls
Portland Trail Blazers,104,Utah Jazz,101,Away,1991,Portland Trail Blazers
Boston Celtics,97,Detroit Pistons,104,Home,1991,Detroit Pistons
Philadelphia 76ers,95,Chicago Bulls,100,Home,1991,Chicago Bulls
Golden State Warriors,119,Los Angeles Lakers,124,Home,1991,Los Angeles Lakers
Utah Jazz,96,Portland Trail Blazers,103,Home,1991,Portland Trail Blazers
Detroit Pistons,116,Boston Celtics,111,Away,1991,Detroit Pistons
Boston Celtics,113,Detroit Pistons,117,Home,1991,Detroit Pistons
Los Angeles Lakers,111,Portland Trail Blazers,106,Away,1991,Los Angeles Lakers
Detroit Pistons,83,Chicago Bulls,94,Home,1991,Chicago Bulls
Detroit Pistons,97,Chicago Bulls,105,Home,1991,Chicago Bulls
Los Angeles Lakers,98,Portland Trail Blazers,109,Home,1991,Portland Trail Blazers
Portland Trail Blazers,92,Los Angeles Lakers,106,Home,1991,Los Angeles Lakers
Chicago Bulls,113,Detroit Pistons,107,Away,1991,Chicago Bulls
Portland Trail Blazers,95,Los Angeles Lakers,116,Home,1991,Los Angeles Lakers
Chicago Bulls,115,Detroit Pistons,94,Away,1991,Chicago Bulls
Los Angeles Lakers,84,Portland Trail Blazers,95,Home,1991,Portland Trail Blazers
Portland Trail Blazers,90,Los Angeles Lakers,91,Home,1991,Los Angeles Lakers
Los Angeles Lakers,93,Chicago Bulls,91,Away,1991,Los Angeles Lakers
Los Angeles Lakers,86,Chicago Bulls,107,Home,1991,Chicago Bulls
Chicago Bulls,104,Los Angeles Lakers,96,Away,1991,Chicago Bulls
Chicago Bulls,97,Los Angeles Lakers,82,Away,1991,Chicago Bulls
Chicago Bulls,108,Los Angeles Lakers,101,Away,1991,Chicago Bulls
New Jersey Nets,113,Cleveland Cavaliers,120,Home,1992,Cleveland Cavaliers
Indiana Pacers,113,Boston Celtics,124,Home,1992,Boston Celtics
Los Angeles Lakers,102,Portland Trail Blazers,115,Home,1992,Portland Trail Blazers
Seattle SuperSonics,117,Golden State Warriors,109,Away,1992,Seattle SuperSonics
Miami Heat,94,Chicago Bulls,113,Home,1992,Chicago Bulls
Detroit Pistons,75,New York Knicks,109,Home,1992,New York Knicks
San Antonio Spurs,111,Phoenix Suns,117,Home,1992,Phoenix Suns
Los Angeles Clippers,97,Utah Jazz,115,Home,1992,Utah Jazz
Indiana Pacers,112,Boston Celtics,119,Home,1992,Boston Celtics
New Jersey Nets,96,Cleveland Cavaliers,118,Home,1992,Cleveland Cavaliers
Seattle SuperSonics,101,Golden State Warriors,115,Home,1992,Golden State Warriors
Los Angeles Lakers,79,Portland Trail Blazers,101,Home,1992,Portland Trail Blazers
Miami Heat,90,Chicago Bulls,120,Home,1992,Chicago Bulls
Detroit Pistons,89,New York Knicks,88,Away,1992,Detroit Pistons
San Antonio Spurs,107,Phoenix Suns,119,Home,1992,Phoenix Suns
Los Angeles Clippers,92,Utah Jazz,103,Home,1992,Utah Jazz
Boston Celtics,102,Indiana Pacers,98,Away,1992,Boston Celtics
Golden State Warriors,128,Seattle SuperSonics,129,Home,1992,Seattle SuperSonics
Cleveland Cavaliers,104,New Jersey Nets,109,Home,1992,New Jersey Nets
New York Knicks,90,Detroit Pistons,87,Away,1992,New York Knicks
Utah Jazz,88,Los Angeles Clippers,98,Home,1992,Los Angeles Clippers
Portland Trail Blazers,119,Los Angeles Lakers,121,Home,1992,Los Angeles Lakers
Chicago Bulls,119,Miami Heat,114,Away,1992,Chicago Bulls
Phoenix Suns,101,San Antonio Spurs,92,Away,1992,Phoenix Suns
Cleveland Cavaliers,98,New Jersey Nets,89,Away,1992,Cleveland Cavaliers
Golden State Warriors,116,Seattle SuperSonics,119,Home,1992,Seattle SuperSonics
New York Knicks,82,Detroit Pistons,86,Home,1992,Detroit Pistons
Boston Celtics,76,Cleveland Cavaliers,101,Home,1992,Cleveland Cavaliers
Utah Jazz,107,Los Angeles Clippers,115,Home,1992,Los Angeles Clippers
Detroit Pistons,87,New York Knicks,94,Home,1992,New York Knicks
Portland Trail Blazers,102,Los Angeles Lakers,76,Away,1992,Portland Trail Blazers
Boston Celtics,104,Cleveland Cavaliers,98,Away,1992,Boston Celtics
Los Angeles Clippers,89,Utah Jazz,98,Home,1992,Utah Jazz
New York Knicks,94,Chicago Bulls,89,Away,1992,New York Knicks
Phoenix Suns,111,Portland Trail Blazers,113,Home,1992,Portland Trail Blazers
Seattle SuperSonics,100,Utah Jazz,108,Home,1992,Utah Jazz
New York Knicks,78,Chicago Bulls,86,Home,1992,Chicago Bulls
Phoenix Suns,119,Portland Trail Blazers,126,Home,1992,Portland Trail Blazers
Cleveland Cavaliers,107,Boston Celtics,110,Home,1992,Boston Celtics
Seattle SuperSonics,97,Utah Jazz,103,Home,1992,Utah Jazz
Chicago Bulls,94,New York Knicks,86,Away,1992,Chicago Bulls
Portland Trail Blazers,117,Phoenix Suns,124,Home,1992,Phoenix Suns
Cleveland Cavaliers,114,Boston Celtics,112,Away,1992,Cleveland Cavaliers
Chicago Bulls,86,New York Knicks,93,Home,1992,New York Knicks
Utah Jazz,98,Seattle SuperSonics,104,Home,1992,Seattle SuperSonics
Portland Trail Blazers,153,Phoenix Suns,151,Away,1992,Portland Trail Blazers
New York Knicks,88,Chicago Bulls,96,Home,1992,Chicago Bulls
Utah Jazz,89,Seattle SuperSonics,83,Away,1992,Utah Jazz
Boston Celtics,98,Cleveland Cavaliers,114,Home,1992,Cleveland Cavaliers
Chicago Bulls,86,New York Knicks,100,Home,1992,New York Knicks
Phoenix Suns,106,Portland Trail Blazers,118,Home,1992,Portland Trail Blazers
Seattle SuperSonics,100,Utah Jazz,111,Home,1992,Utah Jazz
Cleveland Cavaliers,91,Boston Celtics,122,Home,1992,Boston Celtics
Utah Jazz,88,Portland Trail Blazers,113,Home,1992,Portland Trail Blazers
Boston Celtics,104,Cleveland Cavaliers,122,Home,1992,Cleveland Cavaliers
New York Knicks,81,Chicago Bulls,110,Home,1992,Chicago Bulls
Cleveland Cavaliers,89,Chicago Bulls,103,Home,1992,Chicago Bulls
Utah Jazz,102,Portland Trail Blazers,119,Home,1992,Portland Trail Blazers
Cleveland Cavaliers,107,Chicago Bulls,81,Away,1992,Cleveland Cavaliers
Portland Trail Blazers,89,Utah Jazz,97,Home,1992,Utah Jazz
Chicago Bulls,105,Cleveland Cavaliers,96,Away,1992,Chicago Bulls
Portland Trail Blazers,112,Utah Jazz,121,Home,1992,Utah Jazz
Chicago Bulls,85,Cleveland Cavaliers,99,Home,1992,Cleveland Cavaliers
Utah Jazz,121,Portland Trail Blazers,127,Home,1992,Portland Trail Blazers
Cleveland Cavaliers,89,Chicago Bulls,112,Home,1992,Chicago Bulls
Portland Trail Blazers,105,Utah Jazz,97,Away,1992,Portland Trail Blazers
Chicago Bulls,99,Cleveland Cavaliers,94,Away,1992,Chicago Bulls
Portland Trail Blazers,89,Chicago Bulls,122,Home,1992,Chicago Bulls
Portland Trail Blazers,115,Chicago Bulls,104,Away,1992,Portland Trail Blazers
Chicago Bulls,94,Portland Trail Blazers,84,Away,1992,Chicago Bulls
Chicago Bulls,88,Portland Trail Blazers,93,Home,1992,Portland Trail Blazers
Chicago Bulls,119,Portland Trail Blazers,106,Away,1992,Chicago Bulls
Portland Trail Blazers,93,Chicago Bulls,97,Home,1992,Chicago Bulls
New Jersey Nets,98,Cleveland Cavaliers,114,Home,1993,Cleveland Cavaliers
Charlotte Hornets,101,Boston Celtics,112,Home,1993,Boston Celtics
San Antonio Spurs,87,Portland Trail Blazers,86,Away,1993,San Antonio Spurs
Los Angeles Clippers,94,Houston Rockets,117,Home,1993,Houston Rockets
Atlanta Hawks,90,Chicago Bulls,114,Home,1993,Chicago Bulls
Utah Jazz,85,Seattle SuperSonics,99,Home,1993,Seattle SuperSonics
Los Angeles Lakers,107,Phoenix Suns,103,Away,1993,Los Angeles Lakers
Indiana Pacers,104,New York Knicks,107,Home,1993,New York Knicks
Charlotte Hornets,99,Boston Celtics,98,Away,1993,Charlotte Hornets
New Jersey Nets,101,Cleveland Cavaliers,99,Away,1993,New Jersey Nets
Los Angeles Clippers,95,Houston Rockets,83,Away,1993,Los Angeles Clippers
San Antonio Spurs,96,Portland Trail Blazers,105,Home,1993,Portland Trail Blazers
Atlanta Hawks,102,Chicago Bulls,117,Home,1993,Chicago Bulls
Indiana Pacers,91,New York Knicks,101,Home,1993,New York Knicks
Los Angeles Lakers,86,Phoenix Suns,81,Away,1993,Los Angeles Lakers
Utah Jazz,89,Seattle SuperSonics,85,Away,1993,Utah Jazz
Boston Celtics,89,Charlotte Hornets,119,Home,1993,Charlotte Hornets
Houston Rockets,111,Los Angeles Clippers,99,Away,1993,Houston Rockets
Seattle SuperSonics,80,Utah Jazz,90,Home,1993,Utah Jazz
Phoenix Suns,107,Los Angeles Lakers,102,Away,1993,Phoenix Suns
Chicago Bulls,98,Atlanta Hawks,88,Away,1993,Chicago Bulls
New York Knicks,93,Indiana Pacers,116,Home,1993,Indiana Pacers
Boston Celtics,103,Charlotte Hornets,104,Home,1993,Charlotte Hornets
Houston Rockets,90,Los Angeles Clippers,93,Home,1993,Los Angeles Clippers
Cleveland Cavaliers,93,New Jersey Nets,84,Away,1993,Cleveland Cavaliers
Portland Trail Blazers,101,San Antonio Spurs,107,Home,1993,San Antonio Spurs
New York Knicks,109,Indiana Pacers,100,Away,1993,New York Knicks
Phoenix Suns,101,Los Angeles Lakers,86,Away,1993,Phoenix Suns
Seattle SuperSonics,93,Utah Jazz,80,Away,1993,Seattle SuperSonics
Cleveland Cavaliers,79,New Jersey Nets,96,Home,1993,New Jersey Nets
Portland Trail Blazers,97,San Antonio Spurs,100,Home,1993,San Antonio Spurs
Los Angeles Clippers,80,Houston Rockets,84,Home,1993,Houston Rockets
Utah Jazz,92,Seattle SuperSonics,100,Home,1993,Seattle SuperSonics
New Jersey Nets,89,Cleveland Cavaliers,99,Home,1993,Cleveland Cavaliers
Charlotte Hornets,95,New York Knicks,111,Home,1993,New York Knicks
Los Angeles Lakers,104,Phoenix Suns,112,Home,1993,Phoenix Suns
Houston Rockets,90,Seattle SuperSonics,99,Home,1993,Seattle SuperSonics
San Antonio Spurs,89,Phoenix Suns,98,Home,1993,Phoenix Suns
Cleveland Cavaliers,84,Chicago Bulls,91,Home,1993,Chicago Bulls
Charlotte Hornets,101,New York Knicks,105,Home,1993,New York Knicks
Houston Rockets,100,Seattle SuperSonics,111,Home,1993,Seattle SuperSonics
Cleveland Cavaliers,85,Chicago Bulls,104,Home,1993,Chicago Bulls
San Antonio Spurs,103,Phoenix Suns,109,Home,1993,Phoenix Suns
New York Knicks,106,Charlotte Hornets,110,Home,1993,Charlotte Hornets
Chicago Bulls,96,Cleveland Cavaliers,90,Away,1993,Chicago Bulls
Seattle SuperSonics,79,Houston Rockets,97,Home,1993,Houston Rockets
Phoenix Suns,96,San Antonio Spurs,111,Home,1993,San Antonio Spurs
Phoenix Suns,103,San Antonio Spurs,117,Home,1993,San Antonio Spurs
Seattle SuperSonics,92,Houston Rockets,103,Home,1993,Houston Rockets
New York Knicks,94,Charlotte Hornets,92,Away,1993,New York Knicks
Chicago Bulls,103,Cleveland Cavaliers,101,Away,1993,Chicago Bulls
Charlotte Hornets,101,New York Knicks,105,Home,1993,New York Knicks
San Antonio Spurs,97,Phoenix Suns,109,Home,1993,Phoenix Suns
Houston Rockets,95,Seattle SuperSonics,120,Home,1993,Seattle SuperSonics
Seattle SuperSonics,90,Houston Rockets,103,Home,1993,Houston Rockets
Phoenix Suns,102,San Antonio Spurs,100,Away,1993,Phoenix Suns
Houston Rockets,100,Seattle SuperSonics,103,Home,1993,Seattle SuperSonics
Chicago Bulls,90,New York Knicks,98,Home,1993,New York Knicks
Seattle SuperSonics,91,Phoenix Suns,105,Home,1993,Phoenix Suns
Chicago Bulls,91,New York Knicks,96,Home,1993,New York Knicks
Seattle SuperSonics,103,Phoenix Suns,99,Away,1993,Seattle SuperSonics
Phoenix Suns,104,Seattle SuperSonics,97,Away,1993,Phoenix Suns
New York Knicks,83,Chicago Bulls,103,Home,1993,Chicago Bulls
Phoenix Suns,101,Seattle SuperSonics,120,Home,1993,Seattle SuperSonics
New York Knicks,95,Chicago Bulls,105,Home,1993,Chicago Bulls
Seattle SuperSonics,114,Phoenix Suns,120,Home,1993,Phoenix Suns
Chicago Bulls,97,New York Knicks,94,Away,1993,Chicago Bulls
Phoenix Suns,102,Seattle SuperSonics,118,Home,1993,Seattle SuperSonics
New York Knicks,88,Chicago Bulls,96,Home,1993,Chicago Bulls
Seattle SuperSonics,110,Phoenix Suns,123,Home,1993,Phoenix Suns
Chicago Bulls,100,Phoenix Suns,92,Away,1993,Chicago Bulls
Chicago Bulls,111,Phoenix Suns,108,Away,1993,Chicago Bulls
Phoenix Suns,129,Chicago Bulls,121,Away,1993,Phoenix Suns
Phoenix Suns,105,Chicago Bulls,111,Home,1993,Chicago Bulls
Phoenix Suns,108,Chicago Bulls,98,Away,1993,Phoenix Suns
Chicago Bulls,99,Phoenix Suns,98,Away,1993,Chicago Bulls
Indiana Pacers,89,Orlando Magic,88,Away,1994,Indiana Pacers
Miami Heat,93,Atlanta Hawks,88,Away,1994,Miami Heat
Denver Nuggets,82,Seattle SuperSonics,106,Home,1994,Seattle SuperSonics
Utah Jazz,89,San Antonio Spurs,106,Home,1994,San Antonio Spurs
Cleveland Cavaliers,96,Chicago Bulls,104,Home,1994,Chicago Bulls
Golden State Warriors,104,Phoenix Suns,111,Home,1994,Phoenix Suns
New Jersey Nets,80,New York Knicks,91,Home,1994,New York Knicks
Portland Trail Blazers,104,Houston Rockets,114,Home,1994,Houston Rockets
Miami Heat,86,Atlanta Hawks,104,Home,1994,Atlanta Hawks
Indiana Pacers,103,Orlando Magic,101,Away,1994,Indiana Pacers
Utah Jazz,96,San Antonio Spurs,84,Away,1994,Utah Jazz
Denver Nuggets,87,Seattle SuperSonics,97,Home,1994,Seattle SuperSonics
Cleveland Cavaliers,96,Chicago Bulls,105,Home,1994,Chicago Bulls
Portland Trail Blazers,104,Houston Rockets,115,Home,1994,Houston Rockets
New Jersey Nets,81,New York Knicks,90,Home,1994,New York Knicks
Golden State Warriors,111,Phoenix Suns,117,Home,1994,Phoenix Suns
Seattle SuperSonics,93,Denver Nuggets,110,Home,1994,Denver Nuggets
Orlando Magic,86,Indiana Pacers,99,Home,1994,Indiana Pacers
San Antonio Spurs,72,Utah Jazz,105,Home,1994,Utah Jazz
Houston Rockets,115,Portland Trail Blazers,118,Home,1994,Portland Trail Blazers
Chicago Bulls,95,Cleveland Cavaliers,92,Away,1994,Chicago Bulls
Atlanta Hawks,86,Miami Heat,90,Home,1994,Miami Heat
Phoenix Suns,140,Golden State Warriors,133,Away,1994,Phoenix Suns
New York Knicks,92,New Jersey Nets,93,Home,1994,New Jersey Nets
Seattle SuperSonics,85,Denver Nuggets,94,Home,1994,Denver Nuggets
Atlanta Hawks,103,Miami Heat,89,Away,1994,Atlanta Hawks
San Antonio Spurs,90,Utah Jazz,95,Home,1994,Utah Jazz
New York Knicks,102,New Jersey Nets,92,Away,1994,New York Knicks
Houston Rockets,92,Portland Trail Blazers,89,Away,1994,Houston Rockets
Denver Nuggets,98,Seattle SuperSonics,94,Away,1994,Denver Nuggets
Miami Heat,91,Atlanta Hawks,102,Home,1994,Atlanta Hawks
Phoenix Suns,91,Houston Rockets,87,Away,1994,Phoenix Suns
Chicago Bulls,86,New York Knicks,90,Home,1994,New York Knicks
Indiana Pacers,96,Atlanta Hawks,85,Away,1994,Indiana Pacers
Denver Nuggets,91,Utah Jazz,100,Home,1994,Utah Jazz
Phoenix Suns,124,Houston Rockets,117,Away,1994,Phoenix Suns
Chicago Bulls,91,New York Knicks,96,Home,1994,New York Knicks
Denver Nuggets,94,Utah Jazz,104,Home,1994,Utah Jazz
Indiana Pacers,69,Atlanta Hawks,92,Home,1994,Atlanta Hawks
New York Knicks,102,Chicago Bulls,104,Home,1994,Chicago Bulls
Houston Rockets,118,Phoenix Suns,102,Away,1994,Houston Rockets
Utah Jazz,111,Denver Nuggets,109,Away,1994,Utah Jazz
Atlanta Hawks,81,Indiana Pacers,101,Home,1994,Indiana Pacers
New York Knicks,83,Chicago Bulls,95,Home,1994,Chicago Bulls
Utah Jazz,82,Denver Nuggets,83,Home,1994,Denver Nuggets
Atlanta Hawks,86,Indiana Pacers,102,Home,1994,Indiana Pacers
Houston Rockets,107,Phoenix Suns,96,Away,1994,Houston Rockets
Denver Nuggets,109,Utah Jazz,101,Away,1994,Denver Nuggets
Phoenix Suns,86,Houston Rockets,109,Home,1994,Houston Rockets
Indiana Pacers,76,Atlanta Hawks,88,Home,1994,Atlanta Hawks
Chicago Bulls,86,New York Knicks,87,Home,1994,New York Knicks
Utah Jazz,91,Denver Nuggets,94,Home,1994,Denver Nuggets
Atlanta Hawks,79,Indiana Pacers,98,Home,1994,Indiana Pacers
Houston Rockets,89,Phoenix Suns,103,Home,1994,Phoenix Suns
New York Knicks,79,Chicago Bulls,93,Home,1994,Chicago Bulls
Phoenix Suns,94,Houston Rockets,104,Home,1994,Houston Rockets
Denver Nuggets,81,Utah Jazz,91,Home,1994,Utah Jazz
Chicago Bulls,77,New York Knicks,87,Home,1994,New York Knicks
Utah Jazz,88,Houston Rockets,100,Home,1994,Houston Rockets
Indiana Pacers,89,New York Knicks,100,Home,1994,New York Knicks
Utah Jazz,99,Houston Rockets,104,Home,1994,Houston Rockets
Indiana Pacers,78,New York Knicks,89,Home,1994,New York Knicks
Houston Rockets,86,Utah Jazz,95,Home,1994,Utah Jazz
New York Knicks,68,Indiana Pacers,88,Home,1994,Indiana Pacers
Houston Rockets,80,Utah Jazz,78,Away,1994,Houston Rockets
New York Knicks,77,Indiana Pacers,83,Home,1994,Indiana Pacers
Utah Jazz,83,Houston Rockets,94,Home,1994,Houston Rockets
Indiana Pacers,93,New York Knicks,86,Away,1994,Indiana Pacers
New York Knicks,98,Indiana Pacers,91,Away,1994,New York Knicks
Indiana Pacers,90,New York Knicks,94,Home,1994,New York Knicks
New York Knicks,78,Houston Rockets,85,Home,1994,Houston Rockets
New York Knicks,91,Houston Rockets,83,Away,1994,New York Knicks
Houston Rockets,93,New York Knicks,89,Away,1994,Houston Rockets
Houston Rockets,82,New York Knicks,91,Home,1994,New York Knicks
Houston Rockets,84,New York Knicks,91,Home,1994,New York Knicks
New York Knicks,84,Houston Rockets,86,Home,1994,Houston Rockets
New York Knicks,84,Houston Rockets,90,Home,1994,Houston Rockets
Cleveland Cavaliers,79,New York Knicks,103,Home,1995,New York Knicks
Atlanta Hawks,82,Indiana Pacers,90,Home,1995,Indiana Pacers
Houston Rockets,100,Utah Jazz,102,Home,1995,Utah Jazz
Los Angeles Lakers,71,Seattle SuperSonics,96,Home,1995,Seattle SuperSonics
Chicago Bulls,108,Charlotte Hornets,100,Away,1995,Chicago Bulls
Denver Nuggets,88,San Antonio Spurs,104,Home,1995,San Antonio Spurs
Portland Trail Blazers,102,Phoenix Suns,129,Home,1995,Phoenix Suns
Boston Celtics,77,Orlando Magic,124,Home,1995,Orlando Magic
Atlanta Hawks,97,Indiana Pacers,105,Home,1995,Indiana Pacers
Cleveland Cavaliers,90,New York Knicks,84,Away,1995,Cleveland Cavaliers
Los Angeles Lakers,84,Seattle SuperSonics,82,Away,1995,Los Angeles Lakers
Houston Rockets,140,Utah Jazz,126,Away,1995,Houston Rockets
Chicago Bulls,89,Charlotte Hornets,106,Home,1995,Charlotte Hornets
Boston Celtics,99,Orlando Magic,92,Away,1995,Boston Celtics
Portland Trail Blazers,94,Phoenix Suns,103,Home,1995,Phoenix Suns
Denver Nuggets,96,San Antonio Spurs,122,Home,1995,San Antonio Spurs
New York Knicks,83,Cleveland Cavaliers,81,Away,1995,New York Knicks
Seattle SuperSonics,101,Los Angeles Lakers,105,Home,1995,Los Angeles Lakers
Phoenix Suns,117,Portland Trail Blazers,109,Away,1995,Phoenix Suns
San Antonio Spurs,99,Denver Nuggets,95,Away,1995,San Antonio Spurs
Indiana Pacers,105,Atlanta Hawks,89,Away,1995,Indiana Pacers
Charlotte Hornets,80,Chicago Bulls,103,Home,1995,Chicago Bulls
Orlando Magic,82,Boston Celtics,77,Away,1995,Orlando Magic
Utah Jazz,95,Houston Rockets,82,Away,1995,Utah Jazz
Charlotte Hornets,84,Chicago Bulls,85,Home,1995,Chicago Bulls
New York Knicks,93,Cleveland Cavaliers,80,Away,1995,New York Knicks
Seattle SuperSonics,110,Los Angeles Lakers,114,Home,1995,Los Angeles Lakers
Utah Jazz,106,Houston Rockets,123,Home,1995,Houston Rockets
Orlando Magic,95,Boston Celtics,92,Away,1995,Orlando Magic
Los Angeles Lakers,94,San Antonio Spurs,110,Home,1995,San Antonio Spurs
Indiana Pacers,107,New York Knicks,105,Away,1995,Indiana Pacers
Chicago Bulls,91,Orlando Magic,94,Home,1995,Orlando Magic
Houston Rockets,95,Utah Jazz,91,Away,1995,Houston Rockets
Los Angeles Lakers,90,San Antonio Spurs,97,Home,1995,San Antonio Spurs
Indiana Pacers,77,New York Knicks,96,Home,1995,New York Knicks
Houston Rockets,108,Phoenix Suns,130,Home,1995,Phoenix Suns
Chicago Bulls,104,Orlando Magic,94,Away,1995,Chicago Bulls
Houston Rockets,94,Phoenix Suns,118,Home,1995,Phoenix Suns
New York Knicks,95,Indiana Pacers,97,Home,1995,Indiana Pacers
San Antonio Spurs,85,Los Angeles Lakers,92,Home,1995,Los Angeles Lakers
Orlando Magic,110,Chicago Bulls,101,Away,1995,Orlando Magic
Phoenix Suns,85,Houston Rockets,118,Home,1995,Houston Rockets
New York Knicks,84,Indiana Pacers,98,Home,1995,Indiana Pacers
Orlando Magic,95,Chicago Bulls,106,Home,1995,Chicago Bulls
Phoenix Suns,114,Houston Rockets,110,Away,1995,Phoenix Suns
San Antonio Spurs,80,Los Angeles Lakers,71,Away,1995,San Antonio Spurs
Houston Rockets,103,Phoenix Suns,97,Away,1995,Houston Rockets
Los Angeles Lakers,98,San Antonio Spurs,96,Away,1995,Los Angeles Lakers
Chicago Bulls,95,Orlando Magic,103,Home,1995,Orlando Magic
Indiana Pacers,95,New York Knicks,96,Home,1995,New York Knicks
Orlando Magic,108,Chicago Bulls,102,Away,1995,Orlando Magic
Phoenix Suns,103,Houston Rockets,116,Home,1995,Houston Rockets
San Antonio Spurs,100,Los Angeles Lakers,88,Away,1995,San Antonio Spurs
New York Knicks,92,Indiana Pacers,82,Away,1995,New York Knicks
Houston Rockets,115,Phoenix Suns,114,Away,1995,Houston Rockets
Indiana Pacers,97,New York Knicks,95,Away,1995,Indiana Pacers
Houston Rockets,94,San Antonio Spurs,93,Away,1995,Houston Rockets
Indiana Pacers,101,Orlando Magic,105,Home,1995,Orlando Magic
Houston Rockets,106,San Antonio Spurs,96,Away,1995,Houston Rockets
Indiana Pacers,114,Orlando Magic,119,Home,1995,Orlando Magic
San Antonio Spurs,107,Houston Rockets,102,Away,1995,San Antonio Spurs
Orlando Magic,100,Indiana Pacers,105,Home,1995,Indiana Pacers
San Antonio Spurs,103,Houston Rockets,81,Away,1995,San Antonio Spurs
Orlando Magic,93,Indiana Pacers,94,Home,1995,Indiana Pacers
Houston Rockets,111,San Antonio Spurs,90,Away,1995,Houston Rockets
Indiana Pacers,106,Orlando Magic,108,Home,1995,Orlando Magic
San Antonio Spurs,95,Houston Rockets,100,Home,1995,Houston Rockets
Orlando Magic,96,Indiana Pacers,123,Home,1995,Indiana Pacers
Indiana Pacers,81,Orlando Magic,105,Home,1995,Orlando Magic
Houston Rockets,120,Orlando Magic,118,Away,1995,Houston Rockets
Houston Rockets,117,Orlando Magic,106,Away,1995,Houston Rockets
Orlando Magic,103,Houston Rockets,106,Home,1995,Houston Rockets
Orlando Magic,101,Houston Rockets,113,Home,1995,Houston Rockets
Atlanta Hawks,92,Indiana Pacers,80,Away,1996,Atlanta Hawks
New York Knicks,106,Cleveland Cavaliers,83,Away,1996,New York Knicks
Portland Trail Blazers,102,Utah Jazz,110,Home,1996,Utah Jazz
Houston Rockets,87,Los Angeles Lakers,83,Away,1996,Houston Rockets
Miami Heat,85,Chicago Bulls,102,Home,1996,Chicago Bulls
Sacramento Kings,85,Seattle SuperSonics,97,Home,1996,Seattle SuperSonics
Phoenix Suns,98,San Antonio Spurs,120,Home,1996,San Antonio Spurs
Detroit Pistons,92,Orlando Magic,112,Home,1996,Orlando Magic
New York Knicks,84,Cleveland Cavaliers,80,Away,1996,New York Knicks
Atlanta Hawks,94,Indiana Pacers,102,Home,1996,Indiana Pacers
Houston Rockets,94,Los Angeles Lakers,104,Home,1996,Los Angeles Lakers
Portland Trail Blazers,90,Utah Jazz,105,Home,1996,Utah Jazz
Miami Heat,75,Chicago Bulls,106,Home,1996,Chicago Bulls
Detroit Pistons,77,Orlando Magic,92,Home,1996,Orlando Magic
Phoenix Suns,105,San Antonio Spurs,110,Home,1996,San Antonio Spurs
Sacramento Kings,90,Seattle SuperSonics,81,Away,1996,Sacramento Kings
Indiana Pacers,83,Atlanta Hawks,90,Home,1996,Atlanta Hawks
Utah Jazz,91,Portland Trail Blazers,94,Home,1996,Portland Trail Blazers
Seattle SuperSonics,96,Sacramento Kings,89,Away,1996,Seattle SuperSonics
Los Angeles Lakers,98,Houston Rockets,104,Home,1996,Houston Rockets
Orlando Magic,101,Detroit Pistons,98,Away,1996,Orlando Magic
Chicago Bulls,112,Miami Heat,91,Away,1996,Chicago Bulls
Cleveland Cavaliers,76,New York Knicks,81,Home,1996,New York Knicks
San Antonio Spurs,93,Phoenix Suns,94,Home,1996,Phoenix Suns
Utah Jazz,90,Portland Trail Blazers,98,Home,1996,Portland Trail Blazers
Indiana Pacers,83,Atlanta Hawks,75,Away,1996,Indiana Pacers
Los Angeles Lakers,94,Houston Rockets,102,Home,1996,Houston Rockets
Seattle SuperSonics,101,Sacramento Kings,87,Away,1996,Seattle SuperSonics
San Antonio Spurs,116,Phoenix Suns,98,Away,1996,San Antonio Spurs
Houston Rockets,75,Seattle SuperSonics,108,Home,1996,Seattle SuperSonics
New York Knicks,84,Chicago Bulls,91,Home,1996,Chicago Bulls
Atlanta Hawks,89,Indiana Pacers,87,Away,1996,Atlanta Hawks
Portland Trail Blazers,64,Utah Jazz,102,Home,1996,Utah Jazz
Houston Rockets,101,Seattle SuperSonics,105,Home,1996,Seattle SuperSonics
New York Knicks,80,Chicago Bulls,91,Home,1996,Chicago Bulls
Utah Jazz,95,San Antonio Spurs,75,Away,1996,Utah Jazz
Atlanta Hawks,105,Orlando Magic,117,Home,1996,Orlando Magic
Utah Jazz,77,San Antonio Spurs,88,Home,1996,San Antonio Spurs
Seattle SuperSonics,115,Houston Rockets,112,Away,1996,Seattle SuperSonics
Atlanta Hawks,94,Orlando Magic,120,Home,1996,Orlando Magic
Chicago Bulls,99,New York Knicks,102,Home,1996,New York Knicks
San Antonio Spurs,75,Utah Jazz,105,Home,1996,Utah Jazz
