Away,Away PTS,Home,Home PTS,Home_or_away,Year,Winner
Philadelphia 76ers,86,Milwaukee Bucks,109,Home,1981,Milwaukee Bucks
Houston Rockets,105,San Antonio Spurs,100,Away,1981,Houston Rockets
Milwaukee Bucks,98,Philadelphia 76ers,99,Home,1981,Philadelphia 76ers
Kansas City Kings,95,Phoenix Suns,88,Away,1981,Kansas City Kings
Philadelphia 76ers,105,Boston Celtics,104,Away,1981,Philadelphia 76ers
Houston Rockets,97,Kansas City Kings,78,Away,1981,Houston Rockets
Philadelphia 76ers,99,Boston Celtics,118,Home,1981,Boston Celtics
Houston Rockets,79,Kansas City Kings,88,Home,1981,Kansas City Kings
Boston Celtics,100,Philadelphia 76ers,110,Home,1981,Philadelphia 76ers
Kansas City Kings,88,Houston Rockets,92,Home,1981,Houston Rockets
Kansas City Kings,89,Houston Rockets,100,Home,1981,Houston Rockets
Boston Celtics,105,Philadelphia 76ers,107,Home,1981,Philadelphia 76ers
Philadelphia 76ers,109,Boston Celtics,111,Home,1981,Boston Celtics
Houston Rockets,97,Kansas City Kings,88,Away,1981,Houston Rockets
Boston Celtics,100,Philadelphia 76ers,98,Away,1981,Boston Celtics
Philadelphia 76ers,90,Boston Celtics,91,Home,1981,Boston Celtics
Houston Rockets,95,Boston Celtics,98,Home,1981,Boston Celtics
Houston Rockets,92,Boston Celtics,90,Away,1981,Houston Rockets
Boston Celtics,94,Houston Rockets,71,Away,1981,Boston Celtics
Boston Celtics,86,Houston Rockets,91,Home,1981,Houston Rockets
Houston Rockets,80,Boston Celtics,109,Home,1981,Boston Celtics
Boston Celtics,102,Houston Rockets,91,Away,1981,Boston Celtics
Washington Bullets,96,New Jersey Nets,83,Away,1982,Washington Bullets
Phoenix Suns,113,Denver Nuggets,129,Home,1982,Denver Nuggets
Houston Rockets,87,Seattle SuperSonics,102,Home,1982,Seattle SuperSonics
Atlanta Hawks,76,Philadelphia 76ers,111,Home,1982,Philadelphia 76ers
Philadelphia 76ers,98,Atlanta Hawks,95,Away,1982,Philadelphia 76ers
Seattle SuperSonics,70,Houston Rockets,91,Home,1982,Houston Rockets
Denver Nuggets,110,Phoenix Suns,126,Home,1982,Phoenix Suns
New Jersey Nets,92,Washington Bullets,103,Home,1982,Washington Bullets
Phoenix Suns,124,Denver Nuggets,119,Away,1982,Phoenix Suns
Washington Bullets,91,Boston Celtics,109,Home,1982,Boston Celtics
Milwaukee Bucks,122,Philadelphia 76ers,125,Home,1982,Philadelphia 76ers
Houston Rockets,83,Seattle SuperSonics,104,Home,1982,Seattle SuperSonics
San Antonio Spurs,95,Seattle SuperSonics,93,Away,1982,San Antonio Spurs
Phoenix Suns,96,Los Angeles Lakers,115,Home,1982,Los Angeles Lakers
Washington Bullets,103,Boston Celtics,102,Away,1982,Washington Bullets
Phoenix Suns,98,Los Angeles Lakers,117,Home,1982,Los Angeles Lakers
